COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
132548;COLEGIO DIST. MARIA AUXILIADORA (ANT. C.E.B. # 151) - SEDE 1;
132597;COL UNIV SAN CARLOS;
132613;COL FUNDADORES EN ADMINISTRACION (AC);
123356;LICEO PEDAGOGICO QUILICHAO;
123505;LIC EL ROSAL                                                ;
123752;COLEGIO DE ADULTOS NUESTRA SEÑORA DE LAS MERCEDES;
121301;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;0
121319;I.E.T. BOLIVAR - SEDE PRINCIPAL;0
121533;I. E. MARIA JOSEFA MARULANDA;0
125351;I.E. AGROINDUSTRIAL MONTERILLA (ANTES I.E. MONTERILLA) - SEDE PRINCIPAL;
125492;AMELIA PERDOMO DE GARCIA;
125500;CORPORACION EDUCATIVA DEL CARIBE - CEDELCA;
125526;CARLOS RAMON REPIZO;
125534;CENT EDUC DIST EL REMANSO;
125567;COLEGIO FLORENTINO GONZALEZ;
125625;COLEGIO LAS ESTANCIAS;
125641;COLEGIO SANTA LUISA DE MARILLAC;
111500;LA MILAGROSA;0
69013;INSTITUTO DE EDUCACION DE ADULTOS ADOLFO MILANES;0
69021;COL FRANCISCO FERNANDEZ DE CONTRERAS;0
75358;LICEO CONTADORA;0
75366;LIC CAMPESTRE CAFAM - SEDE PRINCIPAL;0
75382;COL NEIL ARMSTRONG                                                                                  ;0
75390;LIC FORMACION EDUC PERSONALIZADA                                                                    ;0
75416;LIC FESAN                                                                                           ;0
75440;COL EL ESCORIAL                                                                                     ;0
75457;CENTRO COMERCIAL MADRE ELISA RONCALLO;0
75465;CENT EDUC DIST FLORENTINO GONZALEZ;0
75473;CENT EDUC DIST ALEJANDRO OBREGON;0
63677;INST EDUC LA SALLE DE CAMPOAMOR;0
63693;COLEGIO INTEGRADO POPULAR DE ENVIGADO CIPE;0
63719;LICEO MIXTO DEL ATLANTICO - SEDE PRINCIPAL;0
63743;INSTITUTO GEOVANNI;0
63792;COLEGIO CRISTIANO J. VENDER MURPHY - SEDE PRINCIPAL;0
63818;COLEGIO ALMIRANTE PADILLA;0
97345;INSTITUTO DE CAPACITACION PARA JOVENES Y ADULTOS INCA;0
97378;COL DPTAL LICEO ARIGUANI;0
97394;IED JACQUELINE KENNEDY;0
97402;CENTRO SISTEMATIZADO ANDRES BELLO;0
97428;I.E.D. EL PANDO;0
97436;INST TEC CAP TEC. DEL CARIBE;0
97469;POLITECNICO DEL MAGDALENA;0
91124;CENT EDUC DIST ARBORIZADORA BAJA;0
91132;COL RAFAEL MARIA CARRASQUILLA                                                                       ;0
91165;COL JUAN RULFO                                                                                      ;0
91173;CENTRO EDUCATIVO CULTURAL Y SOCIAL ANDRES BELLO CESAB;0
117549;COLEGIO PARA ADULTOS EDUCAR - SEDE PRINCIPAL;0
117564;SEDE LA MILAGROSA;0
117622;INST TECNICO AGROPECUARIO CAMILO TORRES RESTREPO;0
117655;COLEGIO INTEGRADO EL CARMEN (E. I. EL CARMEN);0
117754;COL HERACLIO LARA ARROYO;0
999999;VALIDACION BACHILLERATO ICFES;
131532;INST EDUC ALFONSO UPEGUI OROZCO;
131557;INSTITUTO CENTRO DE SISTEMAS LTDA. - SEDE PRINCIPAL;
131573;CASD HERMOGENES MAZA;
131607;COLEGIO INSTITUTO BOLIVARIANO;
131698;CENTRO DE FORMACION INTEGRAL COMUNITARIA KWE SX UMA KIWE - CEFIC;
131706;INSTITUCION EDUCATIVA COLEGIO SAN FRANCISCO DE SALES;
131714;COLEGIO COREDI - SEDE PRINCIPAL;
131722;LIC DE CIENCIA Y CULTURA HARVARD                                                                    ;
131748;INST EDUC SIMON BOLIVAR;
131979;LICEO SANTA MARTHA;
132100;LICEO MANUEL DEL SOCORRO RODRIGUEZ - SEDE PRINCIPAL;
132134;LICEO MANUEL DEL SOCORRO RODRIGUEZ;
132142;CENTRO DE ESTUDIOS TECNICOS CEPRODENT - SEDE PRINCIPAL;
132159;CENTRO DE ESTUDIOS TECNICOS CEPRODENT;
132167;INSTITUCION EDUCATIVA MANUELA BELTRAN;
132183;MANUELA BELTRAN;
132191;INSTITUCION EDUCATIVA JOSEFINA  MUÑOZ GONZALEZ;
132209;EL BANCO;
132225;IE HUMBERTO TAFUR CHARRY;
132829;INSTITUCION EDUCATIVA DEPARTAMENTAL JOAQUIN ALFONSO MEDINA;
125658;COLEGIO SAN PEDRO CLAVER;
125666;INST EDUC TOMAS CARRASQUILLA NO 2;
125690;I.E.R.D. INSTITUTO TECNICO COMERCIAL NACIONALIZADO JOSE DE SAN MARTIN - SEDE PRINCIPAL;
125708;INST EDUC JOAQUIN VALLEJO ARBELAEZ - SEDE PRINCIPAL;
125716;LICEO CRISTIANO VIDA NUEVA;
124610;INTITUTO DE EDUCACION DE ADULTOS CORINTO - SEDE PRINCIPAL;
124636;58/01 INSTITUCION EDUCATIVA GABRIELA MISTRAL;
128363;INST EDUC DIST EL BOSQUE;
129569;POLITECNICO INTEGRAL COLOMBIANO;
122465;I.E.T.I. DON BOSCO;
124404;COLEGIO METROPOLITANO DE SECUNDARIA;
127514;COLEGIO EL REPOSO;
127522;COLEGIO SIETE DE AGOSTO;
127548;INSTITUTO COLOMBO JAPONES ZAKURAYIMA;
128116;INSTITUCION EDUCATIVA NO. 4;
128124;ISNTITUCIÓN EDUCATIVA GRAN COLOMBIA;
128157;CORP  DE SANTANDER CORSAN E.U                                                                       ;
63834;LICEO MIXTO LA INDEPENDENCIA;1
63883;LIC VAL (VIDA-AMOR-LUZ)                                                                             ;0
63917;I.E. TÉCNICA JUAN V PADILLA;0
90704;I.E.T.A. AMBIENTAL DE TIERRA FIRME - SEDE PRINCIPAL;0
90746;CENT EDUC DIST ARBORIZADORA BAJA;0
90761;CENT EDUC DIST LA GAITANA;0
90779;CENT EDUC DIST CLASS;0
90795;CENT FE Y ALEGRIA GARCES NAVAS                                                                      ;0
90803;CENT EDUC DIST PORFIRIO BARBA JACOB;0
90811;CENT EDUC DIST PABLO DE TARSO;0
90829;CENT EDUC DIST PABLO DE TARSO;0
90837;CENT EDUC DIST PABLO DE TARSO;0
90852;CENT EDUC DIST LA CHUCUA;0
90860;CENT EDUC DIST LA CHUCUA;0
97626;LUIS EDUARDO CALVO CANO;0
97634;PATIO BONITO;0
97642;INSTITUCION EDUCATIVA MANUEL ELKIN PATARROYO;0
